path	transcript	t1	t2
ord113-19n	а ты не нашла ? //	25.770	27.012
ord113-19n	как он там оказался ? //	37.452	38.940
ord113-19n	футболку // # а штанишки ? //	48.050	49.820
ord113-19n	сейчас мама позвонит / *П по работе / *П хорошо ?  # носки ма... / потом одену / *П носки потом оденем //	93.705	99.715
ord113-19n	по... // #  потом / почему потом ? / надо сейчас одевать //	100.55	104.0
ord113-19n	то есть вы будете возвращаться да / к нам вставать снова ? // # слушай / ну вот () понимаешь / у меня настолько все непредсказуемо / вот пока вот я вызвала сиделку / круглосуточную да //	193.495	202.635
ord113-19n	не было смски? # нет / нет / нет там смски не ж... / нет //	236.035	240.275
ord113-19n	и(:) я ... / у меня даже наверное в отправленных где то есть // # да ? //	254.78	259.215
ord113-19n	что все ? // # нужно выкидывать //	329.47	331.22
ord113-19n	выкидывать ? //	331.39	332.24
ord113-19n	так мусорка то не там у нас / Анджелика% / куда ты выкинула / в раковину / зачем ? //	332.61	337.25
ord113-19n	это ты ? //	345.755	346.705
ord113-19n	хорошо ? //	389.485	417.65
ord113-19n	ну что малыш ? //	408.725	410.04
ord113-19n	будем кушать ? //	410.6	411.695
ord113-19n	да ? //	412.805	931.375
ord113-19n	что нет ? //	418.735	419.345
ord113-19n	где у нас / *П суп ? //	426.39	429.0
ord113-19n	мы будем с тобой кушать суп ? // # *П / да //	429.89	432.195
ord113-19n	вкусный суп будем кушать ? // # да //	434.14	436.26
ord113-19n	со сметанкой ? // # да //	439.82	441.64
ord113-19n	ты сегодня у Тата% упала ? // # да //	495.38	497.47
ord113-19n	а как это ты так  упала / неаккуратно ? //	497.905	500.565
ord113-19n	так / ты куда полезла там / а ? //	517.555	519.94
ord113-19n	вот этот потом покушаем ? //	530.22	532.475
ord113-19n	вот это что такое ? //	532.725	534.37
ord113-19n	еще супчик ? // # да //	535.145	536.975
ord113-19n	что у тебя ? //	559.67	560.645
ord113-19n	нету сопелек ? // # да //	563.44	565.08
ord113-19n	так / ну что / сметанку достать / да ? // # да //	567.78	571.335
ord113-19n	сметанку / а еще что ? //	571.79	574.16
ord113-19n	ты не знаешь ? //	579.61	581.095
ord113-19n	сметанку и хлебушек / да ? //	595.375	597.545
ord113-19n	ты что нам на стол поставила ? //	606.775	609.73
ord113-19n	а ты не будешь кушать ? //	612.38	614.26
ord113-19n	я? //	614.875	615.495
ord113-19n	мама / ладно я вперед сяду ? //	665.565	668.08
ord113-19n	а ты со мной сядешь ? //	674.955	676.605
ord113-19n	удобные ? //	723.49	724.405
ord113-19n	сползают ? *С //	727.965	729.96
ord113-19n	все удобные / просто ты вот здесь видишь () что ? //	729.96	733.165
ord113-19n	красота / где ты хвостик потеряла / *П а ? //	746.935	750.21
ord113-19n	в машине / резиночку ? //	752.34	754.045
ord113-19n	а почему ты маме не сказала ? //	757.305	759.25
ord113-19n	ты потом об этом вспомнила ? //	762.32	764.16
ord113-19n	когда потом ? //	774.05	775.07
ord113-19n	ты ложечку себе достала ? //	787.475	789.005
ord113-19n	ты меня слышишь ? //	801.375	802.585
ord113-19n	что ага ? //	804.405	805.28
ord113-19n	у нас другой нету ? //	822.335	824.275
ord113-19n	какое / полотенце  другое ? //	829.765	831.685
ord113-19n	а Тата% сегодня будет / *П в садике ? //	847.23	850.845
ord113-19n	в садике есть Тата% ? //	851.665	853.41
ord113-19n	а что *Н глазки ? //	862.555	865.765
ord113-19n	Анджелика% / а кто еще  с татой% сегодня был ? / *П как их зовут ? //	870.825	874.44
ord113-19n	воспитателя ? //	877.125	878.39
ord113-19n	Петровна% ? //	882.335	883.35
ord113-19n	там Николаевна% и Аркадьевна% / кто был ? //	888.645	891.615
ord113-19n	а ? //	893.36	905.735
ord113-19n	так с татой% кто там был ? / воспитателей как звали ? //	899.8	903.145
ord113-19n	ты что мне дашь / а я ? / *П соль //	908.8	911.625
ord113-19n	зачем мне насолила мне *Н ? //	913.205	915.32
ord113-19n	потом перчик покушаем ? //	927.52	929.605
ord113-19n	нашла ? / молодец //	939.815	941.22
ord113-19n	кто мне () собирал / ты ? //	962.745	965.18
ord113-19n	а что ты *Н ? //	999.07	1000.995
ord113-19n	а папа знает об этом ? //	1010.545	1012.65
ord113-19n	что папа ? //	1014.83	1015.57
ord113-19n	вот этой под диван большой ? //	1016.125	1018.44
ord113-19n	а зечем () ты () новый () утюг () второй ? //	1044.36	1048.44
ord113-19n	это утюг вс... / *П ты убрала ? //	1049.585	1052.405
ord113-19n	так сильно ? //	1054.185	1055.635
ord113-19n	когда ты утюг стукнула ? //	1057.765	1059.47
ord113-19n	вкусный ? // # да //	1091.425	1092.89
ord113-19n	да ? / ну(:) (...) это хорошо //	1101.68	1104.985
ord113-19n	и ты ж ... // # и мясо еще нравится ? // # да //	1112.235	1114.925
ord113-19n	и  мне тоже нравится // # а ты включишь там ? //	1116.515	1120.175
ord113-19n	что ? // # телевизор //	1120.9	1122.43
ord113-19n	а что ты не включила мне мультики ? //	1137.75	1140.81
ord113-19n	чего ты не включила мне мультики ? / я вот этот не хочу //	1142.36	1146.62
ordS01-02	так / а теперь куда ?	36.310	37.230
ordS01-02	а зажигалку дала ?	37.230	38.229
ordS01-02	а теперь куда / ты видишь ?	39.850	41.330
ordS01-02	а как нам перейти ?	45.530	46.490
ordS01-02	а здесь нет дороги да /  или есть ?	53.301	55.137
ordS01-02	так / всё-таки не туда ? или туда ?	76.74	79.27
ordS01-02	я говорю /  а где Пряжка ?	119.78	121.05
ordS01-02	о чём она вообще была ?	171.54	172.76
ordS01-02	но она (...) как бы завершает Коломну / почему ? Мариинка в Коломне находится же //	182.63	186.74
ordS01-02	чем она впечатления оставила ?	194.8	196.21
ordS01-02	экскурсию ?	198.6	199.13
ordS01-02	не сюда  конечно / нам надо... / он же треугольный / а мы его можем обойти просто # а мы его с той стороны // *П не с той стороны / да ?	241.67	246.156
ordS01-02	где Мойка ?  #  как проще вернуться ?	247.373	248.47
ordS01-02	туда или с этой стороны ?	248.78	250.43
ordS01-02	но я не хочу с... (...) именно вот  (...) *П чего там по улицам как ты ?	254.1	257.77
ordS01-02	так / а здесь мы / как будем ?	266.794	268.63
ordS01-02	так / а вообще куда мы выйдем / если пойдём вот так ?	273.701	275.64
ordS01-02	почему панели такие узкие / а ?	315.03	316.967
ordS01-02	в кринолинах ?	321.77	322.933
ordS01-02	что ссыпают ?	351.39	352.07
ordS01-02	а что это ?	353.09000000000003	353.88
ordS01-02	а для чего он используется ?	392.34000000000003	393.59000000000003
ordS01-02	газовая атака / знаешь что такое ?  # а то есть газовая... ! да-да-да !	406.401	408.2
ordS01-02	какое токсическое *Н ?	454.86	456.05
ordS01-02	которые в Сибири отшельники  / знаешь / да ? # угу //	463.87	465.95
ordS01-02	тебе дать пива сейчас ? я просто хочу дождаться...  *Н //	503.34	506.33
ordS01-02	остановки ?	506.45	507.3
ordS01-02	хочешь ?	511.72	512.1
ordS01-02	нет / сейчас я... / а *П куда мы вообще ?	512.71	514.81
ordS01-02	где я ? *П  куда я попала ?	519.22	520.95
ordS01-02	где мы ? кто мы ?	521.08	522.17
ordS01-02	куда я попала ? где мои вещи ?	522.17	523.75
ordS01-02	подожди / это не здесь было ?	528.81	530.61
ordS01-02	это не снесли их случайно ?	531.82	533.37
ordS01-02	художественные мощности снести / ты что ? # а не-не-не / нам нужно завернуть направо / у меня уже... //	536.0409999999999	539.28
ordS01-02	да нет мы здесь уже и так близко / да ?	543.31	545.07
ordS01-02	а может и вымерло / откуда ты знаешь ?	625.62	627.27
ordS01-02	на это спокойствие / без суеты @ а из всего мира ?	643.988	646.72
ordS01-02	нет / остался один (э-э) мужчина и одна (:)  женщина на...  @  да ?	660.42	664.4
ordS01-02	что / настолько не понравилась / перспективка ? # да что-то она по-моему сделала...//	685.4	689.26
ordS01-02	"а ""День прикидов"" / ты читала ? #  не-а //"	698.45	700.451
ordS01-02	*Н / взяли власть над миром ? #  не / я не помню //	729.71	731.027
ordS01-02	а при чём здесь ужас ? *Н //	731.147	732.41
ordS01-02	не слышали ? слепые / короче с ними могли бороться / от рождения слепые //	736.73	741.1
ordS01-02	"помнишь (м-м) / был такой мультик ""Властелин времени"" ?"	750.895	753.775
ordS01-02	ты не видел такой в детстве ? #  *Н	754.255	756.01
ordS01-02	мультик какой-то не наш ?	756.881	758.313
ordS01-02	"там что-то (...) про то (...) там что-то про то что как бы @ ""Сказка о потерянном времени"" ?"	777.03	781.091
ordS01-02	может *П достопить ?	788.96	790.19
ordS01-02	да ?	792.12	1077.81
ordS01-02	мне это сразу по ассоциации напомнило знаешь чего ? другое //	810.97	814.28
ordS01-02	он (...)  как бы русский был / но какой-то  / но не русский / но какой-то в общем среднеазиатский что ли @ да ? *П ну это уже... //	836.8	842.82
ordS01-02	а ты говорил / в Лондон в Лондон / там круче / в Питере уже всё знакомо / да ?	883.865	888.17
ordS01-02	паркет тут / что ли ?	904.08	905.04
ordS01-02	она...  #  ...из брёвен ?	906.98	907.73
ordS01-02	чтобы их сушить ?	918.17	919.1
ordS01-02	а что направлять / брёвна ?  а для чего на кораблях брёвна ? @  можно... // можно здесь остановиться / например  //	923.251	927.504
ordS01-02	сплавляли (...) наверно (...) да () да-да-да  #  по воде плывёшь куда угодно / да ?	1034.267	1036.33
ordS01-02	что ?	1075.82	1076.06
ordS01-02	или... или  какой-то немецкий ? ну я не знаю / Бранденбургские ворота / что-то такое //	1086.641	1091.05
ordS01-02	так как один наш... да нет Бранденбургские ворота они более цивильно выглядят / ты что ? @ ты знаешь что ?	1091.05	1095.73
ordS01-02	арочка ?	1117.38	1118.14
ordS01-02	они не жили там / или жили ?	1125.21	1126.61
ordS01-02	зачем не в Тбилиси строил ?  #  ну это-то ладно //	1138.496	1140.496
ordS01-02	почему Тбилиси ?	1142.04	1143.87
ordS01-02	Пётр Первый (...) великий человек / но зачем нам Петербург не в Тбилиси строил ?	1146.75	1151.09
ordS01-02	*Н нормально / да ? он закрыт ещё //	1171.32	1174.2
ordS01-02	*Н а это не он ли? нет не он //	1175.51	1177.649
ordS01-02	где он ?	1183.33	1184.05
ordS01-02	ну в принципе трудно поспорить / потому что...  # откуда она ?	1228.14	1230.69
ordS01-02	нет Чуковский / это бред / это галлюцинации # а у вас как... ?	1255.333	1258.34
ordS01-02	знаешь / каким бы я себя занятиям посвятил короче ?	1304.015	1307.15
ordS01-02	*Н времени Браувег(?) //	1368.38	1370.58
ordS01-02	и дохлая / *П чего ж делать то блин  ? *П отрезал он вторую голову и пришил новую //	1398.22	1403.18
ordS01-02	ты не слышал (...)фольклорные песни в исполнении Гросса ?	1448.812	1451.95
ordS01-02	фольклорные (...)  русские ? # ну такие... / они дунайские скорее //	1456.744	1460.74
ordS01-02	шахтёрско-дунайские / как тут вообще ?	1472.63	1475.84
ordS01-02	откуда они взялись то ?	1492.6	1493.55
ordS01-02	ну откуда... ?	1494.882	1495.55
ordS01-02	никакие не дунайские / чего там дунайского ?	1495.55	1496.78
ordS01-02	ну здравств... / @ для ЮНЕСКО составляла базу @ чего ?	1519.79	1522.47
ordS01-02	чего там со скучного то умереть ? а... / а грибки ?	1523.03	1526.27
ordS01-02	грибки... # а капустка квашеная ?	1526.67	1528.36
ordS01-02	ну да... #  а самогон деревенский ?	1528.36	1529.86
ordS01-02	серьёзно ?	1531.3	1531.66
ordS01-02	*В он...  #  под дурачка косил ?	1545.23	1546.25
ordS01-02	маргарин ? я не зн...  #  обезьянье сало по-немецки  //	1602.201	1604.72
ordS01-02	ну (...) как (...) жир любой *П как  (...) по-немецки ?	1618.49	1621.58
ordS01-02	как ты переводишь ?  #  лень / я не могу короче (...) / это самое //	1660.26	1663.15
ordS01-02	там уже вс...   #  да нету / я всё прочитал / да (...) ну что ж я / дурной что ли ?	1683.53	1686.65
ordS01-02	зачем он нужен дома / если на работе он целый день стоит / правильно ?	1746.93	1751.15
ordS01-02	фольклор / *П *В думаешь я его придумал ? *П я его услышал от ... //	1793.09	1797.67
ordS01-02	у меня папа был электросварщиком  @  *Н понравилась ?	1807.49	1809.33
ordS01-02	куда же мы двинем дальше ? вот она / Новая Голландия !	1820.054	1823.14
ordS01-02	там ?	1847.21	1847.61
ordS01-02	а это всё ещё какие-то туристские катерочки тут курсируют / или ...  ?	1885.491	1888.771
ordS01-02	эй / вы кто ?	1894.83	1895.68
ordS01-02	про себя ?	1951.03	1951.76
ordS01-02	какие ножа(?) //	2001.33	2002.57
ordS01-02	нормально # таких фольклорных стишков  / можно ?	2026.55	2028.91
ordS01-03-SBS-AIR-W	не знаю // это Мишка только бегает там?	14.603	16.112
ordS01-03-SBS-AIR-W	м ?	16.300	16.988
ordS01-03-SBS-AIR-W	Мишка только бегает ?	16.990	18.171
ordS01-03-SBS-AIR-W	я только в Крыму / хорошо видела звёзды // *П мне всё равно не отличить (...) Полярную звезду / *П от какого-нибудь Сириуса // я не понимаю совершенно *Н # нет / но он просто яркий // красивый // как на южном  *Н ну просто / *П относительно других как они расположены  я уже не вижу // *П вот / а на южном време... ой на... на южном небе / Млечный путь очень хорошо просматривается // *П мы когда жили / *П на биостанции / *П там можно было / ну там дорога... #  какой станции ?	111.827	138.96
ordS01-03-SBS-AIR-W	название такое / да ? # ну оно так и называется / *П посёлок Биостанция //  *П у нас дом стоял на горе // *П и каждый вечер / я  возвращалась в гору / минут пятнадцать // *П а () как бы все огни посёлка оставались внизу / и нужно было # ты идешь в гору / и соответственно смотришь в небо / да ? @ в кромешной тьме //	160.216	175.53
ordS01-03-SBS-AIR-W	а ты был в Крыму ?	221.65800000000002	222.469
ordS01-03-SBS-AIR-W	в Артеке?	229.312	230.227
ordS01-03-SBS-AIR-W	где ?	235.107	235.30700000000002
ordS01-03-SBS-AIR-W	а у тебя *Н ?	252.256	253.239
ordS01-03-SBS-AIR-W	а полярная звезда ?	327.553	328.61
ordS01-03-SBS-AIR-W	а здесь #  как она называется  по-нормальному ?	331.939	333.805
ordS01-03-SBS-AIR-W	ну просто вот как всё это подавалось // то есть сам подход к жизни // само настроение // то есть ну жертвоприношение то  это у них там вообще в порядке вещей был //  *П то есть вопрос причины откуда # как они эти пирамиды / сколько они их строили / там несколько поколений положим // да ?	390.932	404.68
ordS01-03-SBS-AIR-W	чего творят ? # чего творят ? *С	417.485	420.137
ordS01-03-SBS-AIR-W	чего творится ? *С	420.137	421.086
ordS01-03-SBS-AIR-W	как там / чего там было про грибы ? *П какие фаллосы ?	424.73	428.37
ordS01-03-SBS-AIR-W	индейская сказка была / я помню / меня впечатлила / что (...) (э-э) раньше (...) мужчины не обладали фаллосом // а он (...) как бы находился в земле // то есть если женщине что-то нужно / она подходит  к нужному там () месту / *П стучит ногой по земле / *H вылезает  *С / и всё в порядке // а потом там что-то случилось @ (э-э) а как же мужчины ? @ и его разделили на части // *П а вот я не знаю / то есть у них видишь / *П у них в каждой () фишке у них недосмотр # *Н ни потребности ни как бы... /	432.776	463.67
ordS01-03-SBS-AIR-W	"какой у них эпос ! // герои такие / вообще // Арджуна / Кришна // *С ты не читал ""Махабхарату"" ?"	511.957	519.96
ordS01-03-SBS-AIR-W	нда ?	723.72	723.956
ordS01-03-SBS-AIR-W	геи ?	741.69	742.344
ordS01-03-SBS-AIR-W	(К1)Геи?*смеётся	742.962	742.967
ordS01-03-SBS-AIR-W	куда / в лес что ли ? # ну я не знаю куда // *В он по-моему то ли переезжал / то ли в лес поехал //	760.208	765.213
ordS01-03-SBS-AIR-W	*Н / чего они там спят ?	799.705	801.594
ordS01-03-SBS-AIR-W	ещё где-то ?	824.57	825.588
ordS01-03-SBS-AIR-W	о / на этих полдвенадцатого что ли ?	873.756	875.784
ordS01-03-SBS-AIR-W	ты куда-то спешишь ?	878.118	879.327
ordS01-03	не знаю // это Мишка только бегает там?	14.603	16.112
ordS01-03	м ?	16.300	16.988
ordS01-03	Мишка только бегает ?	16.990	18.171
ordS01-03	я только в Крыму / хорошо видела звёзды // *П мне всё равно не отличить (...) Полярную звезду / *П от какого-нибудь Сириуса // я не понимаю совершенно *Н # нет / но он просто яркий // красивый // как на южном  *Н ну просто / *П относительно других как они расположены  я уже не вижу // *П вот / а на южном време... ой на... на южном небе / Млечный путь очень хорошо просматривается // *П мы когда жили / *П на биостанции / *П там можно было / ну там дорога... #  какой станции ?	111.827	138.96
ordS01-03	название такое / да ? # ну оно так и называется / *П посёлок Биостанция //  *П у нас дом стоял на горе // *П и каждый вечер / я  возвращалась в гору / минут пятнадцать // *П а () как бы все огни посёлка оставались внизу / и нужно было # ты идешь в гору / и соответственно смотришь в небо / да ? @ в кромешной тьме //	160.216	175.53
ordS01-03	а ты был в Крыму ?	221.65800000000002	222.469
ordS01-03	в Артеке?	229.312	230.227
ordS01-03	где ?	235.107	235.30700000000002
ordS01-03	а у тебя *Н ?	252.256	253.239
ordS01-03	а полярная звезда ?	327.553	328.61
ordS01-03	а здесь #  как она называется  по-нормальному ?	331.939	333.805
ordS01-03	ну просто вот как всё это подавалось // то есть сам подход к жизни // само настроение // то есть ну жертвоприношение то  это у них там вообще в порядке вещей был //  *П то есть вопрос причины откуда # как они эти пирамиды / сколько они их строили / там несколько поколений положим // да ?	390.932	404.68
ordS01-03	чего творят ? # чего творят ? *С	417.485	420.137
ordS01-03	чего творится ? *С	420.137	421.086
ordS01-03	как там / чего там было про грибы ? *П какие фаллосы ?	424.73	428.37
ordS01-03	индейская сказка была / я помню / меня впечатлила / что (...) (э-э) раньше (...) мужчины не обладали фаллосом // а он (...) как бы находился в земле // то есть если женщине что-то нужно / она подходит  к нужному там () месту / *П стучит ногой по земле / *H вылезает  *С / и всё в порядке // а потом там что-то случилось @ (э-э) а как же мужчины ? @ и его разделили на части // *П а вот я не знаю / то есть у них видишь / *П у них в каждой () фишке у них недосмотр # *Н ни потребности ни как бы... /	432.776	463.67
ordS01-03	"какой у них эпос ! // герои такие / вообще // Арджуна / Кришна // *С ты не читал ""Махабхарату"" ?"	511.957	519.96
ordS01-03	нда ?	723.72	723.956
ordS01-03	геи ?	741.69	742.344
ordS01-03	(К1)Геи?*смеётся	742.962	742.967
ordS01-03	куда / в лес что ли ? # ну я не знаю куда // *В он по-моему то ли переезжал / то ли в лес поехал //	760.208	765.213
ordS01-03	*Н / чего они там спят ?	799.705	801.594
ordS01-03	ещё где-то ?	824.57	825.588
ordS01-03	о / на этих полдвенадцатого что ли ?	873.756	875.784
ordS01-03	ты куда-то спешишь ?	878.118	879.327
ordS01-04	*Н ?	00.010	01.040
ordS01-04	я ж тебя спрашиваю / на обед что нам ? капуста тушёная / с капустой ?	02.121	05.430
ordS01-04	как дела ?	27.687	28.380
ordS01-04	да ничего // какие дела ? *П никаких дел не имею //	29.470	32.840
ordS01-04	слушай / а когда ты идёшь (...) в Фёдоровский центр ?	35.348	38.090
ordS01-04	девятого / это вторник // а когда ты кровь сдавать будешь ?	39.020	41.442
ordS01-04	в понедельник я кровь... / почему ? вечером анализ будет готов // вечером иду к терапевту // @ да ?	45.150	49.910
ordS01-04	угу // *П а (:) *П если вдруг не будет готов / то там () тебе нечего делать в Фёдоровском центре ?	52.820	58.410
ordS01-04	почему не будет готов ? если он вечером готов всегда ? анализы готовы вечером // @ угу //	61.81	65.6
ordS01-04	утром сдаёшь / а вечером они готовы // # да? ну / я не знаю / они могут там / () потеряться где-то //	65.6	69.084
ordS01-04	не кашляешь больше ?	90.94	92.28
ordS01-04	кашляешь ? утром / да ? @ угу //	93.3	94.74000000000001
ordS01-04	Ляка% / не ... не приходила что ли ? вообще ?	101.24000000000001	103.87
ordS01-04	куда ?	117.82	118.28999999999999
ordS01-04	а у нас нет цемента дома ?	125.64	127.15
ordS01-04	нету // *П ну есть / @ да? @ но чуть-чуть / да / не хватит на такую большую дырку | цемента не хватит // *П	127.34	131.82
ordS01-04	а заделывать нужно только () одну дырку / в центре ?	132.13	135.07
ordS01-04	сбоку ?	137.05	137.62
ordS01-04	а () / с... сделали уже ? и вставили этот кронштейн ?	139.66	142.49
ordS01-04	а почему у нас так быстро цемент раскрошился ? *П Иван же (...) / когда делал ?	187.91	192.74
ordS01-04	ну потому что () видишь / его нужно / *В (...) поливать водой // чтобы он не сразу высох // # он знает / что Иван не знает / ну ? всё время ... # да ? *П всё время смазывать / чтобы сыро было //	193.09	200.724
ordS01-04	вообще / *П дали ? *П нет ? а / вчера прогревали батареи //	207.678	210.97
ordS01-04	а чего / они вчера грелись ? или просто журчали ?	239.47	242.05
ordS01-04as	*Н ?	00.010	01.040
ordS01-04as	я ж тебя спрашиваю / на обед что нам ? капуста тушёная / с капустой ?	02.121	05.430
ordS01-04as	как дела ?	27.687	28.380
ordS01-04as	да ничего // какие дела ? *П никаких дел не имею //	29.470	32.840
ordS01-04as	слушай / а когда ты идёшь (...) в Фёдоровский центр ?	35.348	38.090
ordS01-04as	девятого / это вторник // а когда ты кровь сдавать будешь ?	39.020	41.442
ordS01-04as	в понедельник я кровь... / почему ? вечером анализ будет готов // вечером иду к терапевту // @ да ?	45.150	49.910
ordS01-04as	угу // *П а (:) *П если вдруг не будет готов / то там () тебе нечего делать в Фёдоровском центре ?	52.820	58.410
ordS01-04as	почему не будет готов ? если он вечером готов всегда ? анализы готовы вечером // @ угу //	61.81	65.6
ordS01-04as	утром сдаёшь / а вечером они готовы // # да? ну / я не знаю / они могут там / () потеряться где-то //	65.6	69.084
ordS01-04as	не кашляешь больше ?	90.94	92.28
ordS01-04as	кашляешь ? утром / да ? @ угу //	93.3	94.74000000000001
ordS01-04as	Ляка% / не ... не приходила что ли ? вообще ?	101.24000000000001	103.87
ordS01-04as	куда ?	117.82	118.28999999999999
ordS01-04as	а у нас нет цемента дома ?	125.64	127.15
ordS01-04as	нету // *П ну есть / @ да? @ но чуть-чуть / да / не хватит на такую большую дырку | цемента не хватит // *П	127.34	131.82
ordS01-04as	а заделывать нужно только () одну дырку / в центре ?	132.13	135.07
ordS01-04as	сбоку ?	137.05	137.62
ordS01-04as	а () / с... сделали уже ? и вставили этот кронштейн ?	139.66	142.49
ordS01-04as	а почему у нас так быстро цемент раскрошился ? *П Иван же (...) / когда делал ?	187.91	192.74
ordS01-04as	ну потому что () видишь / его нужно / *В (...) поливать водой // чтобы он не сразу высох // # он знает / что Иван не знает / ну ? всё время ... # да ? *П всё время смазывать / чтобы сыро было //	193.09	200.724
ordS01-04as	вообще / *П дали ? *П нет ? а / вчера прогревали батареи //	207.678	210.97
ordS01-04as	а чего / они вчера грелись ? или просто журчали ?	239.47	242.05
ordS01-06-SBS	так // снимки свежие есть ? это свежие ? @ *Н	27.860	29.718
ordS01-06-SBS	свежие ?	29.718	30.333
ordS01-06-SBS	(?)никаких / надо делать резекцию @ либо курс	48.399	51.393
ordS01-06-SBS	 а что это такое?	56.208	57.500
ordS01-06-SBS	это у шестого / да?	61.291	62.787
ordS01-06-SBS	а с пятым всё нормально?	69.80799999999999	71.092
ordS01-06-SBS	нет всё нормально тут все  одной веткой нари(?) # вот у меня шейный снимок пятого //	73.774	77.605
ordS01-06-SBS	чувствуется @ я (?) простужаюсь / или  как-то там @ значит люба вам надо делать резекцию шестого зуба // это что?	97.13	102.015
ordS01-06-SBS	это что такое? это вырезать это нужно?	102.015	103.694
ordS01-06-SBS	а это поможет? или оно (?) # это последнее / нет это всё / это последнее как бы тут уже //	108.62	113.625
ordS01-06-SBS	обычно как? обычно () методика лечения гранулём / она сводится к пломбировке () каналов //	113.625	119.703
ordS01-06-SBS	Старались / ну Люба(?) тут уже ...(?) сделал ...(?) я как бы / от а и  б и в //	137.446	141.819
ordS01-06-SBS	 а / как вот ее сделать? вот какие будут последствия?	168.371	172.387
ordS01-06-SBS	значит / общая привычка(?) / так / это что?	193.015	196.666
ordS01-06-SBS	это не к вам / да? а ...	218.28199999999998	220.073
ordS01-06-SBS	да? а сколько примерно вот это вот всё может стоить? # да	229.748	233.834
ordS01-06-SBS	скажи-ка  мне / красотка / сколько у нас стоит резекция?	248.629	251.762
ordS01-06-SBS	а это срочно надо делать?	289.073	291.048
ordS01-06-SBS	понимаете / как срочно? оно вот так как бы и будет / то хуже / то лучше / то хуже то лу ... @ а //	291.048	295.529
ordS01-06-SBS	это хронический процесс  #  то есть не может быть совсем хуже чтобы там совсем уже?	295.529	299.098
ordS01-06-SBS	нет может / на фоне какого-нибудь допустим простудного заболевания там / или такого переохлаждения  /резкого / или стресса  /  может обостриться и может даже / начать там распухать // @ (?) заболевания *П ага	299.098	309.502
ordS01-06-SBS	ну-ка дайте попробую(?) //	314.306	315.645
ordS01-06-SBS	ну-ка дайте-ка еще / вот на четвёртый у вас депульпирован / но каналы просто пустые // просто // понимаете они вообще их блин @  (?) а //	320.235	329.085
ordS01-06-SBS	как-то я не знаю / как их пломбировали так что они вообще пустыми оказались? так //	329.085	333.899
ordS01-06-SBS	а четвёрка розовая такая у вас // вот она потому что ее лечили резакци(?) фармалиновым методом //	355.201	359.452
ordS01-06-SBS	а что такое свищ?	359.452	360.699
ordS01-06-SBS	и чего с ним делать?	366.003	366.944
ordS01-06-SBS	а...а / но всё равно резать надо / всё равно резать надо #  что что ? ... надо / надо / надо // понимаете тут / очаг хронической инфекции //	383.413	391.361
ordS01-06-SBS	да / а вот эта гранулёма вы говорите то что небольшая / или это ...?	413.532	417.469
ordS01-06-SBS	ну там / там  небольшая / там не такая как в шестёрке // но там в любом случае каналы переделывать надо / потому что в каналах пломбировки нету @ (?)	417.469	423.378
ordS01-06-SBS	ну конешно конешно конешно / конешно @ (?)	430.32	433.31
ordS01-06-SBS	а может быть сделать четвёрку ?	433.31	434.737
ordS01-06-SBS	это у вас сначала записаться / да?	457.966	459.842
