path	transcript	t1	t2	quest_num
ord113-19	а ты не нашла ? //	25.770	27.012	questions_wav/ord113-19_question_0.wav
ord113-19	как он там оказался ? //	37.452	38.940	questions_wav/ord113-19_question_1.wav
ord113-19	футболку // # а штанишки ? //	48.050	49.820	questions_wav/ord113-19_question_2.wav
ord113-19	сейчас мама позвонит / *П по работе / *П хорошо ?  # носки ма... / потом одену / *П носки потом оденем //	93.705	99.715	questions_wav/ord113-19_question_3.wav
ord113-19	по... // #  потом / почему потом ? / надо сейчас одевать //	100.55	104.0	questions_wav/ord113-19_question_4.wav
ord113-19	то есть вы будете возвращаться да / к нам вставать снова ? // # слушай / ну вот () понимаешь / у меня настолько все непредсказуемо / вот пока вот я вызвала сиделку / круглосуточную да //	193.495	202.635	questions_wav/ord113-19_question_5.wav
ord113-19	и(:) я ... / у меня даже наверное в отправленных где то есть // # да ? //	254.78	259.215	questions_wav/ord113-19_question_6.wav
ord113-19	что все ? // # нужно выкидывать //	329.47	331.22	questions_wav/ord113-19_question_7.wav
ord113-19	выкидывать ? //	331.39	332.24	questions_wav/ord113-19_question_8.wav
ord113-19	так мусорка то не там у нас / Анджелика% / куда ты выкинула / в раковину / зачем ? //	332.61	337.25	questions_wav/ord113-19_question_9.wav
ord113-19	это ты ? //	345.755	346.705	questions_wav/ord113-19_question_10.wav
ord113-19	хорошо ? //	389.485	417.65	questions_wav/ord113-19_question_11.wav
ord113-19	ну что малыш ? //	408.725	410.04	questions_wav/ord113-19_question_12.wav
ord113-19	будем кушать ? //	410.6	411.695	questions_wav/ord113-19_question_13.wav
ord113-19	да ? //	412.805	931.375	questions_wav/ord113-19_question_14.wav
ord113-19	что нет ? //	418.735	419.345	questions_wav/ord113-19_question_15.wav
ord113-19	где у нас / *П суп ? //	426.39	429.0	questions_wav/ord113-19_question_16.wav
ord113-19	мы будем с тобой кушать суп ? // # *П / да //	429.89	432.195	questions_wav/ord113-19_question_17.wav
ord113-19	вкусный суп будем кушать ? // # да //	434.14	436.26	questions_wav/ord113-19_question_18.wav
ord113-19	со сметанкой ? // # да //	439.82	441.64	questions_wav/ord113-19_question_19.wav
ord113-19	ты сегодня у Тата% упала ? // # да //	495.38	497.47	questions_wav/ord113-19_question_20.wav
ord113-19	а как это ты так  упала / неаккуратно ? //	497.905	500.565	questions_wav/ord113-19_question_21.wav
